ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
6º;Grandezas e medidas;Plantas baixas e vistas aéreas;"• Interpretação e desenho de plantas baixas simples de residências; • Descrição e identificação de vistas aéreas simples de residências, bairros, vilas etc.";(EF06MA28) Interpretar, descrever e dese- nhar plantas baixas simples de residências e vistas aéreas.;(EF06MA27);(EF06GE09);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Grandezas e medidas;Perímetro de um qua- drado como grandeza proporcional à medida do lado;• Análise da relação entre o perímetro e a área de um quadrado quando da redução ou ampliação de seus lados.;(EF06MA29) Analisar e descrever mudan- ças que ocorrem no perímetro e na área  de um quadrado ao se ampliarem ou redu- zirem, igualmente, as medidas de seus lados, para compreender que o perímetro é proporcional à medida do lado, o que não ocorre com a área.;(EF06MA24);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
6º;Probabilidade e estatística;"Cálculo de probabilidade como a razão entre o número de resultados favoráveis e o total de resultados possíveis em um espaço amostral equiprovável Cálculo de probabilidade por meio de muitas repetições
de um experimento (frequências de ocor- rências e probabilidade frequentista)";"• Determinação da probabilidade de ocorrência de um evento aleatório como a razão entre o número de resultados favoráveis e o número de resultados possíveis, representando este resulta- do nas formas fracionária,
• Comparação das frequências de acontecimentos cotidianos: esperado e ocorrido.";(EF06MA30) Calcular a probabilidade de um evento aleatório, expressando-a por número racional (forma fracionária, deci- mal e percentual) e comparar esse número com a probabilidade obtida por meio de experimentos sucessivos.;;;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Probabilidade e estatística;"Leitura e interpretação de tabelas e gráficos (de
colunas ou barras simples ou múltiplas) referentes
a variáveis categóricas e variáveis numéricas";"• Identificação dos elementos de um gráfico (título, eixos, legenda, fontes, etc.); • Leitura das informações apresentadas em tabelas de dupla entrada e em gráficos de colunas, de barras duplas, de linhas e de setores; • Identificação das variáveis apresentadas nos diversos tipos de gráficos e tabelas e determinação da frequência de cada variável;";(EF06MA31) Identificar as variáveis e suas frequências e os elementos constitutivos (título, eixos, legendas, fontes e datas) em diferentes tipos de gráfico.;(EF06MA32) (EF06MA33) (EF06MA34);(EF06GE13);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
6º;Probabilidade e estatística;"Leitura e interpretação de tabelas e gráficos (de
colunas ou barras simples ou múltiplas) referentes
a variáveis categóricas e variáveis numéricas";"• Interpretação das informações apresentadas em tabelas de dupla entrada e em gráficos de colunas, de barras duplas, de linhas e de setores;
• Associação do gráfico à tabela e vice-versa; • Resolução de problemas com as informações apresentadas nas tabelas e nos gráficos de colunas, de barras duplas, de linhas e de setores;
• Síntese das informações apresentadas nas tabelas e gráficos.";(EF06MA32) Interpretar e resolver situa- ções que envolvam dados de pesquisas sobre contextos ambientais, sustentabi- lidade, trânsito, consumo responsável, entre outros, apresentadas pela mídia em tabelas e em diferentes tipos de gráficos e redigir textos escritos com o objetivo de sintetizar conclusões.;(EF06MA31) (EF06MA33) (EF06MA34);(EF06GE13);Desenvolver e/ou discutir projetos que abordem, sobretudo, questões de urgência social, com base em princípios éticos, democráticos, sustentáveis e solidários, valorizan- do a diversidade de opiniões de indivíduos e de grupos sociais, sem preconceitos de qualquer natureza.
6º;Probabilidade e estatística;Coleta de dados, organi- zação e registro Construção de diferentes tipos de gráficos para representá-los e interpre- tação das informações;"• Seleção dos métodos para coleta de dados incluindo questões de pesquisa; • Construção das planilhas eletrônicas com as informações coletadas pelos alunos e suas várias representa- ções nos vários tipos de gráficos bem como sua interpretação.";"(EF06MA33) Planejar e coletar dados de pesquisa referente a práticas sociais escolhidas pelos alunos e fazer uso de
planilhas eletrônicas para registro, repre- sentação e interpretação das informações, em tabelas, vários tipos de gráficos e texto.";(EF06MA31) (EF06MA32) (EF06MA34);(EF06LP10) (EF69AR35);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
6º;Probabilidade e estatística;Diferentes tipos de repre- sentação de informações: gráficos e fluxogramas;• Construção e interpretação dos fluxogramas simples (hierarquia na escola, árvores genealógi- cas, etc.) sempre destacando a relação entre os objetos representados.;(EF06MA34) Interpretar e desenvolver fluxogramas simples, identificando as re- lações entre os objetos representados (por exemplo, posição de cidades considerando as estradas que as unem, hierarquia dos funcionários de uma empresa etc.).;(EF06MA31) (EF06MA32) (EF06MA33);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
7º;Números;Múltiplos e divisores de um número natural;"• Resolução de problemas envolvendo as noções de divisores e múltiplos de números naturais;
• Determinação do Mínimo Múltiplo Comum (MMC) e do Máximo Denominador Comum (MDC) entre dois ou mais números naturais pela comparação dos conjuntos dos múltiplos e dos divisores, respectivamente;";(EF07MA01) Resolver e elaborar proble- mas com números naturais, envolvendo as noções de divisor e de múltiplo, podendo incluir máximo divisor comum ou mínimo múltiplo comum, por meio de estratégias diversas, sem a aplicação de algoritmos.;(EF06MA05) (EF06MA06);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
7º;Números;Cálculo de porcentagens e de acréscimos e decrés- cimos simples;"• Estabelecimento da relação entre números racionais nas formas fracionária, decimal e porcentual; • Abordagem dos conceitos relacio- nados ao sistema monetário: lucro, acréscimos e descontos; • Resolução de problemas envolvendo porcentagens, como os que lidam com acrés- cimos e decréscimos simples; • Descrição do processo de resolução dos problemas resolvidos;
• Elaboração de problemas envolvendo juros simples e descontos simples; • Realização de cálculos utilizando estratégias próprias, cálculo mental e calculadora ;";(EF07MA02) Resolver e elaborar proble- mas que envolvam porcentagens, como os que lidam com acréscimos e decréscimos simples, utilizando estratégias pessoais, cálculo mental e calculadora, no contexto de educação financeira, entre outros.;(EF05MA06) (EF06MA09);(EF07GE04);Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
7º;Números;Números inteiros: usos, história, ordenação, associação com pontos da reta numérica e operações;"Compreensão da história dos números inteiros: origem dos números negativos; Números inteiros negativos como resultados de translações à esquerda; Utilização dos números inteiros em contextos do dia a dia; O sinal menos como
a reflexão geométrica através do zero; Locali- zação dos números inteiros na reta numérica; Interpretações em termos de deslocamentos, temperaturas, saldos financeiros, pontuações. Subtração como soma com o oposto. Subtração como operação “inversa” da adição, recuperando a abordagem dos anos iniciais. Propriedades fundamentais da subtração que decorrem das propriedades da adição. Utilidade das proprieda- des fundamentais para efetuar cálculos.";(EF07MA03) Comparar e ordenar números inteiros em diferentes contextos, incluindo o histórico, associá-los a pontos da reta numérica e utilizá-los em situações que envolvam adição e subtração.;(EF07MA04) (EF07MA10);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
